ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000177694,0.0,0.0,0.0,0.0,0.0,"['hsa04658', 'hsa04659']",1.0
ENSP00000177742,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000178638,0.0,0.0,0.0,2.659,0.03,['hsa00910'],1.0
ENSP00000178640,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04540', 'hsa04921']",2.0
ENSP00000179259,0.0,0.0,0.0,0.0,0.0,['hsa00051'],1.0
ENSP00000180166,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04151']",1.0
ENSP00000180173,0.0,0.0,0.0,0.0,0.0,"['hsa00562', 'hsa04070']",1.0
ENSP00000181383,0.0,0.0,0.0,0.0,0.0,['hsa04610'],1.0
ENSP00000181796,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000181839,0.0,0.0,0.0,0.0,0.0,unknown,2.0
ENSP00000182290,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000182527,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000183605,0.0,0.0,0.0,0.0,0.0,"['hsa04530', 'hsa04670']",1.0
ENSP00000184183,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000184266,0.0,0.0,0.0,0.0,0.0,['hsa00190'],1.0
ENSP00000184956,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000185150,0.0,0.0,0.0,0.0,0.0,['hsa04141'],1.0
ENSP00000185206,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000186436,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000188312,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000188790,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000190165,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000192314,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000192788,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000193322,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000193391,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000194130,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000194152,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000194214,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000196061,0.0,0.0,0.0,0.0,0.0,['hsa00310'],1.0
ENSP00000196371,0.0,0.0,0.0,0.0,0.0,"['hsa00072', 'hsa00280', 'hsa00650']",1.0
ENSP00000196489,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000197268,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000198536,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000198767,0.0,0.0,0.0,0.0,0.0,unknown,1.0
